,PC1,PC2,PC3
g__Phocaeicola_A_858004,-0.07434547343917847,-0.33827541107400944,-0.676320877373135
g__Bacteroides_H,-0.14897203143910578,-0.2752623023518217,-0.5348370684720056
g__Faecalibacterium,0.1572340029582924,-0.4936922471144791,0.1111454724865445
g__Blautia_A_141781,-0.02704791241520745,-0.18086882099427842,0.023475604486036125
g__Gemmiger_A_73129,0.12564364355454533,-0.49238601620844363,0.4061341251793922
g__Prevotella,0.9594258463922449,0.12742282301984295,-0.22423018148803622
g__Agathobacter_164117,0.10267269980167817,-0.5240937712985274,0.16855521063400858
