,PC1,PC2,PC3
g__Phocaeicola_A_858004,-0.48775487551533114,-0.5850546467935032,0.21336238319042308
g__Bacteroides_H,-0.357399398101931,-0.4840667008419999,0.11988304152615792
g__Faecalibacterium,-0.586298298034464,0.2181317285297466,-0.7800629453476422
g__Gemmiger_A_73129,-0.5390873374225108,0.6130326568869692,0.5758527164903388
